"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"FMC00914163","01","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","01","99","99","    7.84"," ","R","19","    19.0"," ","P","19","    11.9"," ","P","19","     7.5"," ","P","19","     4.2"," ","P","19","     1.8"," ","P","19","     0.8"," ","P","19","     0.1"," ","P","19","     0.1"," ","P","19","    4.59"," ","R","19","    6.46"," ","R","19","    8.57"," ","R","19","    4.52"," ","R","19","    5.95"," ","R","19","    6.86"," ","R","19","   10.94"," ","R","19","    5.57"," ","R","19","    7.45"," ","R","19"
"FMC00914163","02","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","02","99","99","    6.09"," ","R","17","    16.3"," ","P","17","     9.6"," ","P","17","     5.3"," ","P","17","     3.3"," ","P","17","     1.7"," ","P","17","     0.6"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","    2.21"," ","R","17","    4.74"," ","R","17","    8.12"," ","R","17","    1.97"," ","R","17","    4.41"," ","R","17","    5.91"," ","R","17","    8.92"," ","R","17","    4.03"," ","R","17","    6.94"," ","R","17"
"FMC00914163","03","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","03","99","99","    6.40"," ","R","18","    15.9"," ","P","19","    10.2"," ","P","19","     6.1"," ","P","19","     3.6"," ","P","19","     1.9"," ","P","19","     0.7"," ","P","19","     0.1"," ","P","19","     0.1"," ","P","19","    3.50"," ","R","18","    5.86"," ","R","18","    8.54"," ","R","18","    3.38"," ","R","18","    5.42"," ","R","18","    6.70"," ","R","18","    9.02"," ","R","18","    5.00"," ","R","18","    7.95"," ","R","18"
"FMC00914163","04","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","04","99","99","    5.69"," ","R","18","    17.1"," ","P","18","    11.3"," ","P","18","     6.3"," ","P","18","     3.3"," ","P","18","     1.6"," ","P","18","     0.3"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    3.18"," ","R","18","    5.06"," ","R","18","    8.77"," ","R","18","    3.06"," ","R","18","    4.02"," ","R","18","    6.15"," ","R","18","    9.20"," ","R","18","    3.35"," ","R","18","    6.67"," ","R","18"
"FMC00914163","05","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","05","99","99","   10.22"," ","R","16","    22.0"," ","P","17","    14.8"," ","P","17","    10.5"," ","P","17","     6.8"," ","P","17","     3.4"," ","P","17","     0.6"," ","P","17","     0.1"," ","P","17","     0.1"," ","P","17","    5.99"," ","R","16","    9.44"," ","R","16","   13.94"," ","R","16","    4.99"," ","R","16","    7.79"," ","R","16","   11.12"," ","R","16","   16.21"," ","R","16","    6.77"," ","R","16","   11.59"," ","R","16"
"FMC00914163","06","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","06","99","99","   12.06"," ","R","16","    23.3"," ","P","17","    17.6"," ","P","17","    12.0"," ","P","17","     7.4"," ","P","17","     3.9"," ","P","17","     1.2"," ","P","17","     0.1"," ","P","17","     0.1"," ","P","17","    9.78"," ","R","16","   12.12"," ","R","16","   15.56"," ","R","16","    8.10"," ","R","16","   11.32"," ","R","16","   13.39"," ","R","16","   15.84"," ","R","16","   10.53"," ","R","16","   14.03"," ","R","16"
"FMC00914163","07","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","07","99","99","   15.40"," ","R","17","    22.9"," ","P","17","    17.8"," ","P","17","    13.9"," ","P","17","     9.9"," ","P","17","     4.9"," ","P","17","     1.6"," ","P","17","     0.5"," ","P","17","     0.1"," ","P","17","   12.26"," ","R","17","   15.62"," ","R","17","   19.39"," ","R","17","   10.81"," ","R","17","   14.49"," ","R","17","   17.05"," ","R","17","   20.32"," ","R","17","   13.22"," ","R","17","   18.15"," ","R","17"
"FMC00914163","08","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","08","99","99","   14.84"," ","R","20","    23.2"," ","P","20","    18.2"," ","P","20","    13.6"," ","P","20","     9.8"," ","P","20","     5.9"," ","P","20","     1.2"," ","P","20","     0.1"," ","P","20","     0.0","X","P","20","   12.61"," ","R","20","   14.04"," ","R","20","   17.38"," ","R","20","   12.29"," ","R","20","   13.43"," ","R","20","   15.49"," ","R","20","   17.94"," ","R","20","   12.98"," ","R","20","   16.24"," ","R","20"
"FMC00914163","09","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","09","99","99","   15.29"," ","R","18","    22.6"," ","P","18","    17.4"," ","P","18","    13.3"," ","P","18","     9.7"," ","P","18","     5.7"," ","P","18","     1.8"," ","P","18","     0.2"," ","P","18","     0.0"," ","P","18","   11.60"," ","R","18","   14.49"," ","R","18","   18.14"," ","R","18","   11.17"," ","R","18","   13.48"," ","R","18","   15.94"," ","R","18","   18.74"," ","R","18","   12.86"," ","R","18","   16.47"," ","R","18"
"FMC00914163","10","  9.5367"," 138.1211","  20.1","DUGOR, FM FM","10","99","99","   13.28"," ","R","20","    22.2"," ","P","20","    16.4"," ","P","20","    11.6"," ","P","20","     8.0"," ","P","20","     3.9"," ","P","20","     1.2"," ","P","20","     0.3"," ","P","20","     0.0"," ","P","20","    9.75"," ","R","20","   13.49"," ","R","20","   16.43"," ","R","20","    8.96"," ","R","20","   11.15"," ","R","20","   15.11"," ","R","20","   17.75"," ","R","20","   10.61"," ","R","20","   15.62"," ","R","20"
