"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"RMC00913915","01","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","01","99","99","    6.09"," ","R","19","    13.2"," ","P","21","    10.6"," ","P","21","     6.9"," ","P","21","     4.7"," ","P","21","     2.5"," ","P","21","     0.7"," ","P","21","     0.0","X","P","21","     0.0"," ","P","21","    4.42"," ","R","19","    5.86"," ","R","19","    7.85"," ","R","19","    3.50"," ","R","19","    5.38"," ","R","19","    6.79"," ","R","19","    8.01"," ","R","19","    4.71"," ","R","19","    7.04"," ","R","19"
"RMC00913915","02","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","02","99","99","    5.16"," ","R","19","    10.8"," ","P","19","     8.1"," ","P","19","     5.1"," ","P","19","     3.3"," ","P","19","     2.0"," ","P","19","     0.8"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","    1.69"," ","R","19","    3.98"," ","R","19","    7.42"," ","R","19","    1.19"," ","R","19","    2.77"," ","R","19","    4.83"," ","R","19","    8.20"," ","R","19","    2.50"," ","R","19","    5.96"," ","R","19"
"RMC00913915","03","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","03","99","99","    6.56"," ","R","18","    12.5"," ","P","19","     9.6"," ","P","19","     6.4"," ","P","19","     4.0"," ","P","19","     1.8"," ","P","19","     0.5"," ","P","19","     0.1"," ","P","19","     0.0"," ","P","19","    3.79"," ","R","18","    6.55"," ","R","18","    8.06"," ","R","18","    2.59"," ","R","18","    5.56"," ","R","18","    7.19"," ","R","18","    9.23"," ","R","18","    4.16"," ","R","18","    7.73"," ","R","18"
"RMC00913915","04","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","04","99","99","    7.13"," ","R","17","    13.1"," ","P","17","    11.2"," ","P","17","     8.7"," ","P","17","     5.5"," ","P","17","     3.0"," ","P","17","     0.9"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","    3.35"," ","R","17","    5.68"," ","R","17","    9.66"," ","R","17","    3.03"," ","R","17","    4.66"," ","R","17","    7.89"," ","R","17","   10.36"," ","R","17","    3.92"," ","R","17","    8.89"," ","R","17"
"RMC00913915","05","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","05","99","99","   11.05"," ","R","15","    16.4"," ","P","16","    13.7"," ","P","16","     9.6"," ","P","16","     6.9"," ","P","16","     3.5"," ","P","16","     1.3"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","    8.62"," ","R","15","   11.01"," ","R","15","   12.79"," ","R","15","    8.19"," ","R","15","   10.02"," ","R","15","   11.43"," ","R","15","   13.87"," ","R","15","    9.37"," ","R","15","   11.91"," ","R","15"
"RMC00913915","06","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","06","99","99","   10.48"," ","R","15","    17.2"," ","P","16","    14.2"," ","P","16","    10.1"," ","P","16","     6.9"," ","P","16","     3.4"," ","P","16","     0.9"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    9.50"," ","R","15","   10.18"," ","R","15","   11.65"," ","R","15","    9.20"," ","R","15","    9.87"," ","R","15","   10.36"," ","R","15","   11.88"," ","R","15","    9.82"," ","R","15","   10.66"," ","R","15"
"RMC00913915","07","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","07","99","99","   11.15"," ","R","16","    19.1"," ","P","16","    16.2"," ","P","16","    11.8"," ","P","16","     7.8"," ","P","16","     3.9"," ","P","16","     1.0"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","    9.46"," ","R","16","   11.45"," ","R","16","   12.67"," ","R","16","    9.03"," ","R","16","   10.49"," ","R","16","   11.69"," ","R","16","   12.96"," ","R","16","   10.07"," ","R","16","   12.05"," ","R","16"
"RMC00913915","08","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","08","99","99","   10.60"," ","R","16","    17.1"," ","P","16","    14.4"," ","P","16","    10.5"," ","P","16","     6.6"," ","P","16","     3.4"," ","P","16","     0.8"," ","P","16","     0.1"," ","P","16","     0.1"," ","P","16","    6.95"," ","R","16","    9.37"," ","R","16","   12.38"," ","R","16","    6.33"," ","R","16","    8.50"," ","R","16","   10.47"," ","R","16","   13.16"," ","R","16","    7.44"," ","R","16","   10.86"," ","R","16"
"RMC00913915","09","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","09","99","99","   10.15"," ","R","17","    16.2"," ","P","18","    13.1"," ","P","18","     9.7"," ","P","18","     6.9"," ","P","18","     3.4"," ","P","18","     0.9"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    7.65"," ","R","17","    9.15"," ","R","17","   11.40"," ","R","17","    6.81"," ","R","17","    8.77"," ","R","17","   10.53"," ","R","17","   11.91"," ","R","17","    8.47"," ","R","17","   11.20"," ","R","17"
"RMC00913915","10","  7.2667"," 168.8333","   1.8","AILINGLAPALAP, MH RM","10","99","99","   11.36"," ","R","17","    17.8"," ","P","18","    15.3"," ","P","18","    11.6"," ","P","18","     7.4"," ","P","18","     3.6"," ","P","18","     1.0"," ","P","18","     0.2"," ","P","18","     0.0"," ","P","18","   10.06"," ","R","17","   10.93"," ","R","17","   12.05"," ","R","17","    9.77"," ","R","17","   10.57"," ","R","17","   11.43"," ","R","17","   12.15"," ","R","17","   10.53"," ","R","17","   11.59"," ","R","17"
