"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQ1PRAC0001","01"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","01","99","99","    3.56"," ","E"," 4"
"RQ1PRAC0001","02"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","02","99","99","    2.56"," ","E"," 5"
"RQ1PRAC0001","03"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","03","99","99","    3.99"," ","E"," 2"
"RQ1PRAC0001","04"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","04","99","99","    4.18"," ","E"," 3"
"RQ1PRAC0001","05"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","05","99","99","    8.09"," ","E"," 4"
"RQ1PRAC0001","06"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","06","99","99","    3.26"," ","E"," 3"
"RQ1PRAC0001","07"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","07","99","99","    4.75"," ","E"," 5"
"RQ1PRAC0001","08"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","08","99","99","    6.01"," ","E"," 5"
"RQ1PRAC0001","09"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","09","99","99","    7.32"," ","E"," 4"
"RQ1PRAC0001","10"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","10","99","99","    8.63"," ","E"," 4"
"RQ1PRAC0001","11"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","11","99","99","    6.11"," ","E"," 4"
"RQ1PRAC0001","12"," 18.4414"," -66.6589","  29.6","ARECIBO 5.2 ESE, PR RQ","12","99","99","    4.18"," ","E"," 2"
