"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US10adam002","01"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","01","99","99","    0.50"," ","R","14","     3.9"," ","P","15","     0.9"," ","P","15","     0.4"," ","P","15","     0.2"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.20"," ","R","14","    0.32"," ","R","14","    0.85"," ","R","14","    0.16"," ","R","14","    0.29"," ","R","14","    0.39"," ","R","14","    0.89"," ","R","14","    0.26"," ","R","14","    0.55"," ","R","14"
"US10adam002","02"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","02","99","99","    0.59"," ","R","13","     4.9"," ","P","14","     1.5"," ","P","14","     0.7"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.30"," ","R","13","    0.58"," ","R","13","    0.85"," ","R","13","    0.25"," ","R","13","    0.46"," ","R","13","    0.64"," ","R","13","    0.86"," ","R","13","    0.40"," ","R","13","    0.68"," ","R","13"
"US10adam002","03"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","03","99","99","    1.43"," ","R","14","     7.0"," ","P","14","     3.9"," ","P","14","     2.4"," ","P","14","     0.8"," ","P","14","     0.3"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.58"," ","R","14","    1.39"," ","R","14","    2.23"," ","R","14","    0.47"," ","R","14","    0.89"," ","R","14","    1.87"," ","R","14","    2.34"," ","R","14","    0.75"," ","R","14","    2.05"," ","R","14"
"US10adam002","04"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","04","99","99","    2.78"," ","R","14","     9.4"," ","P","14","     5.2"," ","P","14","     3.3"," ","P","14","     1.9"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.69"," ","R","14","    2.69"," ","R","14","    3.33"," ","R","14","    1.63"," ","R","14","    2.52"," ","R","14","    2.90"," ","R","14","    3.56"," ","R","14","    2.31"," ","R","14","    3.12"," ","R","14"
"US10adam002","05"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","05","99","99","    3.97"," ","R","13","    11.5"," ","P","15","     6.9"," ","P","15","     5.0"," ","P","15","     2.9"," ","P","15","     1.4"," ","P","15","     0.3"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    2.88"," ","R","13","    4.04"," ","R","13","    4.97"," ","R","13","    2.82"," ","R","13","    3.72"," ","R","13","    4.53"," ","R","13","    5.13"," ","R","13","    3.17"," ","R","13","    4.67"," ","R","13"
"US10adam002","06"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","06","99","99","    3.64"," ","R","14","    10.6"," ","P","16","     6.8"," ","P","16","     4.1"," ","P","16","     2.5"," ","P","16","     1.2"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    2.43"," ","R","14","    3.29"," ","R","14","    4.69"," ","R","14","    2.33"," ","R","14","    3.01"," ","R","14","    3.77"," ","R","14","    4.84"," ","R","14","    2.78"," ","R","14","    4.04"," ","R","14"
"US10adam002","07"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","07","99","99","    3.25"," ","R","14","     9.1"," ","P","17","     5.3"," ","P","17","     3.5"," ","P","17","     1.9"," ","P","17","     1.0"," ","P","17","     0.4"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    2.26"," ","R","14","    3.12"," ","R","14","    3.92"," ","R","14","    2.17"," ","R","14","    2.81"," ","R","14","    3.43"," ","R","14","    4.06"," ","R","14","    2.69"," ","R","14","    3.52"," ","R","14"
"US10adam002","08"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","08","99","99","    3.93"," ","R","14","     8.9"," ","P","17","     5.2"," ","P","17","     3.9"," ","P","17","     2.6"," ","P","17","     1.4"," ","P","17","     0.4"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    2.57"," ","R","14","    4.39"," ","R","14","    5.36"," ","R","14","    1.91"," ","R","14","    3.54"," ","R","14","    5.04"," ","R","14","    5.81"," ","R","14","    3.02"," ","R","14","    5.13"," ","R","14"
"US10adam002","09"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","09","99","99","    2.29"," ","R","14","     6.9"," ","P","16","     3.8"," ","P","16","     2.7"," ","P","16","     1.4"," ","P","16","     0.7"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    1.36"," ","R","14","    2.05"," ","R","14","    2.96"," ","R","14","    1.07"," ","R","14","    1.83"," ","R","14","    2.45"," ","R","14","    3.28"," ","R","14","    1.61"," ","R","14","    2.55"," ","R","14"
"US10adam002","10"," 40.5093"," -98.5493"," 601.1","JUNIATA 6.0 SSW, NE US","10","99","99","    2.47"," ","R","14","     7.2"," ","P","16","     3.8"," ","P","16","     2.7"," ","P","16","     1.6"," ","P","16","     0.8"," ","P","16","     0.1"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","    1.31"," ","R","14","    1.75"," ","R","14","    3.76"," ","R","14","    1.09"," ","R","14","    1.64"," ","R","14","    2.11"," ","R","14","    4.09"," ","R","14","    1.57"," ","R","14","    2.92"," ","R","14"
