"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLAL0004","01"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","01","99","99","    3.86"," ","E"," 8"
"US1FLAL0004","02"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","02","99","99","    3.10"," ","E"," 9"
"US1FLAL0004","03"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","03","99","99","    3.74"," ","E"," 7"
"US1FLAL0004","04"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","04","99","99","    2.54"," ","E"," 6"
"US1FLAL0004","05"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","05","99","99","    4.00"," ","E"," 3"
"US1FLAL0004","06"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","06","99","99","    7.31"," ","E"," 9"
"US1FLAL0004","07"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","07","99","99","    7.41"," ","E","11"
"US1FLAL0004","08"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","08","99","99","    7.30"," ","E","10"
"US1FLAL0004","09"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","09","99","99","    6.08"," ","E"," 7"
"US1FLAL0004","10"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","10","99","99","    3.10"," ","E"," 8"
"US1FLAL0004","11"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","11","99","99","    1.99"," ","E"," 7"
"US1FLAL0004","12"," 29.8006"," -82.2836","  43.0","BROOKER 6.6 SSE, FL US","12","99","99","    2.87"," ","E"," 4"
