"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1GAAT0002","01"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","01","99","99","    4.26"," ","E"," 6"
"US1GAAT0002","02"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","02","99","99","    4.11"," ","E"," 7"
"US1GAAT0002","03"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","03","99","99","    4.76"," ","E"," 4"
"US1GAAT0002","04"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","04","99","99","    3.40"," ","E"," 4"
"US1GAAT0002","05"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","05","99","99","    3.07"," ","E"," 5"
"US1GAAT0002","06"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","06","99","99","    7.20"," ","E"," 5"
"US1GAAT0002","07"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","07","99","99","    5.76"," ","E"," 6"
"US1GAAT0002","08"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","08","99","99","    7.41"," ","E"," 5"
"US1GAAT0002","09"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","09","99","99","    3.98"," ","E"," 4"
"US1GAAT0002","10"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","10","99","99","    3.47"," ","E"," 5"
"US1GAAT0002","11"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","11","99","99","    2.93"," ","E"," 5"
"US1GAAT0002","12"," 31.3382"," -82.8172","  57.3","PEARSON 3.5 NE, GA US","12","99","99","    3.59"," ","E"," 4"
