"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1HIHI0003","01"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","01","99","99","   10.67"," ","E"," 5"
"US1HIHI0003","02"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","02","99","99","   10.61"," ","E"," 7"
"US1HIHI0003","03"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","03","99","99","   13.95"," ","E"," 5"
"US1HIHI0003","04"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","04","99","99","   12.62"," ","E"," 7"
"US1HIHI0003","05"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","05","99","99","    8.77"," ","E"," 5"
"US1HIHI0003","06"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","06","99","99","    9.54"," ","E"," 7"
"US1HIHI0003","07"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","07","99","99","   12.71"," ","E"," 8"
"US1HIHI0003","08"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","08","99","99","   12.48"," ","E"," 8"
"US1HIHI0003","09"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","09","99","99","   10.83"," ","E"," 7"
"US1HIHI0003","10"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","10","99","99","   12.16"," ","E"," 7"
"US1HIHI0003","11"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","11","99","99","   16.05"," ","E"," 7"
"US1HIHI0003","12"," 19.5043","-154.9165"," 137.2","PAHOA 2.1 E, HI US","12","99","99","   14.06"," ","E"," 5"
