"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1KSBA0004","01"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","01","99","99","    0.65"," ","R","13","     2.3"," ","P","13","     1.3"," ","P","13","     0.9"," ","P","13","     0.4"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.10"," ","R","13","    0.33"," ","R","13","    0.89"," ","R","13","    0.07"," ","R","13","    0.27"," ","R","13","    0.53"," ","R","13","    1.10"," ","R","13","    0.19"," ","R","13","    0.68"," ","R","13"
"US1KSBA0004","02"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","02","99","99","    1.11"," ","R","12","     4.4"," ","P","13","     1.9"," ","P","13","     1.0"," ","P","13","     0.5"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.34"," ","R","12","    0.72"," ","R","12","    1.48"," ","R","12","    0.23"," ","R","12","    0.54"," ","R","12","    0.94"," ","R","12","    1.61"," ","R","12","    0.39"," ","R","12","    1.35"," ","R","12"
"US1KSBA0004","03"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","03","99","99","    1.49"," ","R","11","     5.6"," ","P","13","     3.0"," ","P","13","     1.7"," ","P","13","     0.5"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.69"," ","R","11","    1.40"," ","R","11","    2.17"," ","R","11","    0.67"," ","R","11","    1.02"," ","R","11","    1.74"," ","R","11","    2.25"," ","R","11","    0.92"," ","R","11","    1.94"," ","R","11"
"US1KSBA0004","04"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","04","99","99","    2.10"," ","R","10","     8.5"," ","P","14","     4.5"," ","P","14","     2.9"," ","P","14","     2.1"," ","P","14","     0.6"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.39"," ","R","10","    1.79"," ","R","10","    2.74"," ","R","10","    1.28"," ","R","10","    1.69"," ","R","10","    1.98"," ","R","10","    2.93"," ","R","10","    1.51"," ","R","10","    2.17"," ","R","10"
"US1KSBA0004","05"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","05","99","99","    3.92"," ","R","12","     8.7"," ","P","14","     6.2"," ","P","14","     4.7"," ","P","14","     3.2"," ","P","14","     1.4"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","    2.50"," ","R","12","    3.55"," ","R","12","    4.64"," ","R","12","    2.04"," ","R","12","    3.01"," ","R","12","    3.96"," ","R","12","    4.93"," ","R","12","    2.97"," ","R","12","    4.33"," ","R","12"
"US1KSBA0004","06"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","06","99","99","    3.53"," ","R","12","     6.6"," ","P","14","     4.9"," ","P","14","     4.1"," ","P","14","     3.0"," ","P","14","     1.6"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    2.22"," ","R","12","    3.40"," ","R","12","    4.19"," ","R","12","    2.08"," ","R","12","    3.03"," ","R","12","    3.64"," ","R","12","    4.91"," ","R","12","    2.66"," ","R","12","    3.99"," ","R","12"
"US1KSBA0004","07"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","07","99","99","    2.89"," ","R","12","     6.3"," ","P","14","     5.0"," ","P","14","     3.3"," ","P","14","     2.2"," ","P","14","     1.1"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","    1.64"," ","R","12","    2.92"," ","R","12","    3.77"," ","R","12","    1.20"," ","R","12","    2.68"," ","R","12","    3.12"," ","R","12","    4.01"," ","R","12","    2.19"," ","R","12","    3.25"," ","R","12"
"US1KSBA0004","08"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","08","99","99","    3.37"," ","R","10","     7.2"," ","P","14","     5.1"," ","P","14","     3.5"," ","P","14","     1.9"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.69"," ","R","10","    3.09"," ","R","10","    5.22"," ","R","10","    1.41"," ","R","10","    2.37"," ","R","10","    3.93"," ","R","10","    5.47"," ","R","10","    2.18"," ","R","10","    4.40"," ","R","10"
"US1KSBA0004","09"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","09","99","99","    2.65"," ","R","13","     4.9"," ","P","14","     3.0"," ","P","14","     2.0"," ","P","14","     1.4"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","    1.02"," ","R","13","    1.84"," ","R","13","    3.92"," ","R","13","    0.97"," ","R","13","    1.57"," ","R","13","    2.26"," ","R","13","    4.84"," ","R","13","    1.36"," ","R","13","    2.84"," ","R","13"
"US1KSBA0004","10"," 37.2840"," -98.5879"," 458.1","MEDICINE LODGE 0.4 WSW, KS US","10","99","99","    2.43"," ","R","13","     6.0"," ","P","14","     3.2"," ","P","14","     2.0"," ","P","14","     1.5"," ","P","14","     0.7"," ","P","14","     0.2"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","    1.10"," ","R","13","    1.79"," ","R","13","    3.20"," ","R","13","    0.84"," ","R","13","    1.35"," ","R","13","    1.88"," ","R","13","    3.60"," ","R","13","    1.28"," ","R","13","    2.19"," ","R","13"
