"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1KYAL0004","01"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","01","99","99","    4.25"," ","R","13","    12.9"," ","P","13","     7.6"," ","P","13","     5.4"," ","P","13","     2.8"," ","P","13","     0.9"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.93"," ","R","13","    4.04"," ","R","13","    5.54"," ","R","13","    2.84"," ","R","13","    3.52"," ","R","13","    4.54"," ","R","13","    5.75"," ","R","13","    3.43"," ","R","13","    4.93"," ","R","13"
"US1KYAL0004","02"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","02","99","99","    4.55"," ","R","13","    13.3"," ","P","13","     7.9"," ","P","13","     5.6"," ","P","13","     3.6"," ","P","13","     1.2"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.89"," ","R","13","    3.93"," ","R","13","    6.10"," ","R","13","    2.77"," ","R","13","    3.57"," ","R","13","    4.60"," ","R","13","    6.49"," ","R","13","    3.30"," ","R","13","    4.89"," ","R","13"
"US1KYAL0004","03"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","03","99","99","    5.24"," ","R","13","    14.1"," ","P","13","     9.5"," ","P","13","     6.9"," ","P","13","     3.5"," ","P","13","     1.2"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    3.92"," ","R","13","    4.79"," ","R","13","    6.12"," ","R","13","    3.64"," ","R","13","    4.48"," ","R","13","    5.10"," ","R","13","    6.30"," ","R","13","    4.06"," ","R","13","    5.54"," ","R","13"
"US1KYAL0004","04"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","04","99","99","    4.92"," ","R","12","    12.8"," ","P","13","     8.7"," ","P","13","     6.7"," ","P","13","     3.3"," ","P","13","     1.4"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    3.25"," ","R","12","    4.84"," ","R","12","    6.05"," ","R","12","    2.99"," ","R","12","    4.14"," ","R","12","    5.22"," ","R","12","    6.70"," ","R","12","    3.67"," ","R","12","    5.53"," ","R","12"
"US1KYAL0004","05"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","05","99","99","    6.01"," ","R","13","    14.0"," ","P","13","     9.4"," ","P","13","     6.3"," ","P","13","     4.5"," ","P","13","     1.6"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.1"," ","P","13","    4.89"," ","R","13","    5.73"," ","R","13","    6.81"," ","R","13","    4.62"," ","R","13","    5.31"," ","R","13","    6.14"," ","R","13","    7.15"," ","R","13","    5.01"," ","R","13","    6.46"," ","R","13"
"US1KYAL0004","06"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","06","99","99","    5.23"," ","R","13","    10.8"," ","P","13","     7.4"," ","P","13","     5.2"," ","P","13","     3.7"," ","P","13","     1.7"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    4.02"," ","R","13","    4.88"," ","R","13","    6.26"," ","R","13","    3.31"," ","R","13","    4.49"," ","R","13","    5.47"," ","R","13","    6.70"," ","R","13","    4.41"," ","R","13","    5.85"," ","R","13"
"US1KYAL0004","07"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","07","99","99","    5.49"," ","R","13","    12.4"," ","P","13","     8.8"," ","P","13","     6.2"," ","P","13","     3.9"," ","P","13","     2.1"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    3.66"," ","R","13","    4.96"," ","R","13","    6.68"," ","R","13","    3.26"," ","R","13","    4.82"," ","R","13","    5.74"," ","R","13","    7.27"," ","R","13","    4.29"," ","R","13","    5.93"," ","R","13"
"US1KYAL0004","08"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","08","99","99","    3.35"," ","R","12","    10.2"," ","P","13","     6.3"," ","P","13","     4.2"," ","P","13","     3.1"," ","P","13","     1.7"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.18"," ","R","12","    2.92"," ","R","12","    4.77"," ","R","12","    1.98"," ","R","12","    2.55"," ","R","12","    3.18"," ","R","12","    4.94"," ","R","12","    2.41"," ","R","12","    3.51"," ","R","12"
"US1KYAL0004","09"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","09","99","99","    4.06"," ","R","12","     9.8"," ","P","13","     6.2"," ","P","13","     4.2"," ","P","13","     2.5"," ","P","13","     0.9"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    1.53"," ","R","12","    3.61"," ","R","12","    6.39"," ","R","12","    1.01"," ","R","12","    2.93"," ","R","12","    4.50"," ","R","12","    6.99"," ","R","12","    1.99"," ","R","12","    5.26"," ","R","12"
"US1KYAL0004","10"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","10","99","99","    3.71"," ","R","13","    10.2"," ","P","13","     6.8"," ","P","13","     5.1"," ","P","13","     2.8"," ","P","13","     1.2"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.60"," ","R","13","    3.60"," ","R","13","    4.47"," ","R","13","    1.97"," ","R","13","    3.29"," ","R","13","    3.86"," ","R","13","    4.80"," ","R","13","    2.92"," ","R","13","    4.14"," ","R","13"
"US1KYAL0004","11"," 36.7207"," -86.0349"," 231.6","SCOTTSVILLE 9.2 ESE, KY US","11","99","99","    4.21"," ","R","13","     9.7"," ","P","13","     6.8"," ","P","13","     4.2"," ","P","13","     2.8"," ","P","13","     1.0"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.65"," ","R","13","    4.20"," ","R","13","    5.56"," ","R","13","    2.28"," ","R","13","    3.85"," ","R","13","    5.02"," ","R","13","    5.75"," ","R","13","    3.50"," ","R","13","    5.14"," ","R","13"
