"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1LAAS0005","01"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","01","99","99","    5.95"," ","R","12","     9.9"," ","P","12","     7.1"," ","P","12","     4.6"," ","P","12","     3.7"," ","P","12","     1.2"," ","P","12","     0.5"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","    3.35"," ","R","12","    4.05"," ","R","12","    6.72"," ","R","12","    3.04"," ","R","12","    3.86"," ","R","12","    4.88"," ","R","12","    6.92"," ","R","12","    3.75"," ","R","12","    6.01"," ","R","12"
"US1LAAS0005","02"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","02","99","99","    4.67"," ","R","13","     9.6"," ","P","13","     6.6"," ","P","13","     4.5"," ","P","13","     2.6"," ","P","13","     1.2"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    2.71"," ","R","13","    4.45"," ","R","13","    6.29"," ","R","13","    2.46"," ","R","13","    3.67"," ","R","13","    5.11"," ","R","13","    6.63"," ","R","13","    2.94"," ","R","13","    5.42"," ","R","13"
"US1LAAS0005","03"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","03","99","99","    4.93"," ","R","13","     7.9"," ","P","13","     4.8"," ","P","13","     3.8"," ","P","13","     2.9"," ","P","13","     1.3"," ","P","13","     0.6"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    2.81"," ","R","13","    3.88"," ","R","13","    6.18"," ","R","13","    2.50"," ","R","13","    3.23"," ","R","13","    4.94"," ","R","13","    6.37"," ","R","13","    3.07"," ","R","13","    5.71"," ","R","13"
"US1LAAS0005","04"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","04","99","99","    4.12"," ","R","11","     8.0"," ","P","13","     5.7"," ","P","13","     4.7"," ","P","13","     3.1"," ","P","13","     1.6"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.56"," ","R","11","    4.22"," ","R","11","    5.52"," ","R","11","    2.43"," ","R","11","    3.80"," ","R","11","    4.56"," ","R","11","    5.99"," ","R","11","    3.25"," ","R","11","    4.76"," ","R","11"
"US1LAAS0005","05"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","05","99","99","    5.68"," ","R","12","     8.4"," ","P","13","     6.6"," ","P","13","     4.6"," ","P","13","     3.4"," ","P","13","     2.3"," ","P","13","     1.2"," ","P","13","     0.1"," ","P","13","     0.1"," ","P","13","    2.52"," ","R","12","    4.79"," ","R","12","    7.51"," ","R","12","    2.04"," ","R","12","    2.92"," ","R","12","    6.47"," ","R","12","    8.11"," ","R","12","    2.81"," ","R","12","    6.91"," ","R","12"
"US1LAAS0005","06"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","06","99","99","    5.88"," ","R","13","    11.8"," ","P","13","     7.8"," ","P","13","     5.1"," ","P","13","     3.9"," ","P","13","     1.8"," ","P","13","     0.4"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    4.38"," ","R","13","    5.93"," ","R","13","    7.07"," ","R","13","    4.11"," ","R","13","    5.44"," ","R","13","    6.49"," ","R","13","    7.55"," ","R","13","    5.10"," ","R","13","    6.62"," ","R","13"
"US1LAAS0005","07"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","07","99","99","    6.27"," ","R","12","    13.3"," ","P","13","     9.3"," ","P","13","     5.9"," ","P","13","     4.2"," ","P","13","     2.0"," ","P","13","     0.3"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    4.70"," ","R","12","    5.56"," ","R","12","    7.00"," ","R","12","    4.51"," ","R","12","    5.28"," ","R","12","    6.13"," ","R","12","    7.46"," ","R","12","    5.09"," ","R","12","    6.56"," ","R","12"
"US1LAAS0005","08"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","08","99","99","    6.01"," ","R","11","    13.8"," ","P","12","     9.9"," ","P","12","     7.0"," ","P","12","     4.6"," ","P","12","     2.2"," ","P","12","     1.0"," ","P","12","     0.4"," ","P","12","     0.0"," ","P","12","    2.34"," ","R","11","    3.95"," ","R","11","    8.20"," ","R","11","    2.16"," ","R","11","    2.85"," ","R","11","    5.50"," ","R","11","    8.58"," ","R","11","    2.69"," ","R","11","    6.99"," ","R","11"
"US1LAAS0005","09"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","09","99","99","    4.45"," ","R","13","    10.1"," ","P","13","     7.1"," ","P","13","     5.2"," ","P","13","     2.9"," ","P","13","     1.2"," ","P","13","     0.4"," ","P","13","     0.1"," ","P","13","     0.1"," ","P","13","    2.18"," ","R","13","    3.96"," ","R","13","    6.34"," ","R","13","    1.88"," ","R","13","    3.16"," ","R","13","    4.99"," ","R","13","    6.65"," ","R","13","    2.86"," ","R","13","    5.17"," ","R","13"
"US1LAAS0005","10"," 30.1584"," -90.9207","   4.9","GONZALES 4.0 S, LA US","10","99","99","    5.14"," ","R","11","     7.1"," ","P","13","     5.0"," ","P","13","     3.3"," ","P","13","     2.3"," ","P","13","     1.1"," ","P","13","     0.4"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","    1.71"," ","R","11","    4.01"," ","R","11","    8.31"," ","R","11","    1.20"," ","R","11","    2.95"," ","R","11","    5.96"," ","R","11","    8.81"," ","R","11","    2.63"," ","R","11","    6.92"," ","R","11"
