"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MNAA0004","01"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","01","99","99","    0.70"," ","E"," 4"
"US1MNAA0004","02"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","02","99","99","    0.84"," ","E"," 5"
"US1MNAA0004","03"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","03","99","99","    1.64"," ","E"," 6"
"US1MNAA0004","04"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","04","99","99","    2.99"," ","E"," 8"
"US1MNAA0004","05"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","05","99","99","    4.09"," ","E"," 9"
"US1MNAA0004","06"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","06","99","99","    4.52"," ","E"," 8"
"US1MNAA0004","07"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","07","99","99","    4.32"," ","E"," 8"
"US1MNAA0004","08"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","08","99","99","    4.02"," ","E"," 9"
"US1MNAA0004","09"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","09","99","99","    3.34"," ","E","11"
"US1MNAA0004","10"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","10","99","99","    2.82"," ","E"," 8"
"US1MNAA0004","11"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","11","99","99","    1.60"," ","E"," 6"
"US1MNAA0004","12"," 45.4090"," -93.3090"," 284.1","SAINT FRANCIS 4.0 E, MN US","12","99","99","    1.14"," ","E"," 8"
