"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MTBV0002","01"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","01","99","99","    0.27"," ","E"," 6"
"US1MTBV0002","02"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","02","99","99","    0.34"," ","E"," 4"
"US1MTBV0002","03"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","03","99","99","    0.69"," ","E"," 4"
"US1MTBV0002","04"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","04","99","99","    1.15"," ","E"," 3"
"US1MTBV0002","05"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","05","99","99","    1.98"," ","E"," 5"
"US1MTBV0002","06"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","06","99","99","    2.75"," ","E"," 3"
"US1MTBV0002","07"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","07","99","99","    0.96"," ","E"," 3"
"US1MTBV0002","08"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","08","99","99","    1.24"," ","E"," 5"
"US1MTBV0002","09"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","09","99","99","    1.08"," ","E"," 5"
"US1MTBV0002","10"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","10","99","99","    0.81"," ","E"," 4"
"US1MTBV0002","11"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","11","99","99","    0.40"," ","E"," 8"
"US1MTBV0002","12"," 45.2434","-112.5334","1615.1","DILLON 5.3 ENE, MT US","12","99","99","    0.45"," ","E"," 5"
