"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NDBH0034","01"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","01","99","99","    0.55"," ","E"," 8"
"US1NDBH0034","02"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","02","99","99","    0.56"," ","E"," 8"
"US1NDBH0034","03"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","03","99","99","    0.89"," ","E"," 8"
"US1NDBH0034","04"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","04","99","99","    1.44"," ","E"," 5"
"US1NDBH0034","05"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","05","99","99","    2.66"," ","E"," 7"
"US1NDBH0034","06"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","06","99","99","    3.47"," ","E"," 8"
"US1NDBH0034","07"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","07","99","99","    3.16"," ","E"," 8"
"US1NDBH0034","08"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","08","99","99","    2.46"," ","E"," 9"
"US1NDBH0034","09"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","09","99","99","    1.79"," ","E"," 9"
"US1NDBH0034","10"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","10","99","99","    1.62"," ","E"," 8"
"US1NDBH0034","11"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","11","99","99","    0.75"," ","E"," 9"
"US1NDBH0034","12"," 46.8115","-100.7930"," 526.1","BISMARCK 1.3 WNW, ND US","12","99","99","    0.68"," ","E"," 9"
