"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NJAT0001","01"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","01","99","99","    3.54"," ","R","12","    10.4"," ","P","12","     7.2"," ","P","12","     4.7"," ","P","12","     2.5"," ","P","12","     0.7"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.88"," ","R","12","    3.38"," ","R","12","    4.07"," ","R","12","    2.78"," ","R","12","    3.16"," ","R","12","    3.73"," ","R","12","    4.30"," ","R","12","    3.00"," ","R","12","    4.03"," ","R","12"
"US1NJAT0001","02"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","02","99","99","    3.08"," ","R","10","     9.9"," ","P","12","     7.4"," ","P","12","     4.6"," ","P","12","     2.5"," ","P","12","     0.3"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.29"," ","R","10","    2.80"," ","R","10","    3.59"," ","R","10","    1.88"," ","R","10","    2.75"," ","R","10","    3.08"," ","R","10","    3.90"," ","R","10","    2.70"," ","R","10","    3.33"," ","R","10"
"US1NJAT0001","03"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","03","99","99","    4.54"," ","R","11","    10.6"," ","P","12","     6.8"," ","P","12","     5.3"," ","P","12","     3.4"," ","P","12","     0.9"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.32"," ","R","11","    4.46"," ","R","11","    5.36"," ","R","11","    3.22"," ","R","11","    4.23"," ","R","11","    4.87"," ","R","11","    5.47"," ","R","11","    3.89"," ","R","11","    5.18"," ","R","11"
"US1NJAT0001","04"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","04","99","99","    3.32"," ","R","10","    11.9"," ","P","13","     6.5"," ","P","13","     4.4"," ","P","13","     2.5"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.82"," ","R","10","    3.12"," ","R","10","    3.49"," ","R","10","    2.77"," ","R","10","    3.02"," ","R","10","    3.19"," ","R","10","    3.69"," ","R","10","    2.92"," ","R","10","    3.43"," ","R","10"
"US1NJAT0001","05"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","05","99","99","    3.48"," ","R","11","    13.8"," ","P","13","     8.0"," ","P","13","     5.0"," ","P","13","     2.9"," ","P","13","     0.8"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.64"," ","R","11","    3.14"," ","R","11","    4.51"," ","R","11","    2.00"," ","R","11","    2.88"," ","R","11","    3.49"," ","R","11","    4.74"," ","R","11","    2.79"," ","R","11","    3.86"," ","R","11"
"US1NJAT0001","06"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","06","99","99","    4.55"," ","R","11","    13.3"," ","P","13","     7.7"," ","P","13","     5.1"," ","P","13","     3.6"," ","P","13","     1.5"," ","P","13","     0.3"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    3.09"," ","R","11","    4.43"," ","R","11","    5.48"," ","R","11","    2.97"," ","R","11","    3.75"," ","R","11","    4.99"," ","R","11","    5.98"," ","R","11","    3.49"," ","R","11","    5.25"," ","R","11"
"US1NJAT0001","07"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","07","99","99","    4.85"," ","R","12","    11.4"," ","P","13","     7.5"," ","P","13","     5.4"," ","P","13","     3.6"," ","P","13","     1.9"," ","P","13","     0.4"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    3.77"," ","R","12","    4.72"," ","R","12","    5.56"," ","R","12","    3.45"," ","R","12","    4.25"," ","R","12","    5.07"," ","R","12","    6.11"," ","R","12","    4.04"," ","R","12","    5.32"," ","R","12"
"US1NJAT0001","08"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","08","99","99","    4.68"," ","R","12","    10.2"," ","P","13","     7.0"," ","P","13","     5.6"," ","P","13","     3.5"," ","P","13","     1.9"," ","P","13","     0.5"," ","P","13","     0.2"," ","P","13","     0.2"," ","P","13","    2.33"," ","R","12","    3.44"," ","R","12","    5.93"," ","R","12","    2.27"," ","R","12","    3.13"," ","R","12","    4.70"," ","R","12","    6.18"," ","R","12","    2.80"," ","R","12","    5.45"," ","R","12"
"US1NJAT0001","09"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","09","99","99","    3.94"," ","R","12","     9.9"," ","P","13","     6.4"," ","P","13","     4.3"," ","P","13","     2.8"," ","P","13","     1.4"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.55"," ","R","12","    3.70"," ","R","12","    5.02"," ","R","12","    2.40"," ","R","12","    3.30"," ","R","12","    4.04"," ","R","12","    5.07"," ","R","12","    3.12"," ","R","12","    4.46"," ","R","12"
"US1NJAT0001","10"," 39.5483"," -74.8671","  31.4","BUENA VISTA TWP 2.6 NNE, NJ US","10","99","99","    4.02"," ","R","12","    11.6"," ","P","13","     6.8"," ","P","13","     4.4"," ","P","13","     2.6"," ","P","13","     1.4"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.63"," ","R","12","    4.09"," ","R","12","    5.59"," ","R","12","    2.26"," ","R","12","    3.36"," ","R","12","    4.77"," ","R","12","    6.03"," ","R","12","    3.14"," ","R","12","    5.00"," ","R","12"
