"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1PAAD0002","01"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","01","99","99","    3.41"," ","R","13","    10.8"," ","P","13","     5.8"," ","P","13","     3.4"," ","P","13","     2.2"," ","P","13","     0.6"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.43"," ","R","13","    2.82"," ","R","13","    4.29"," ","R","13","    2.29"," ","R","13","    2.65"," ","R","13","    3.09"," ","R","13","    4.63"," ","R","13","    2.57"," ","R","13","    3.31"," ","R","13"
"US1PAAD0002","02"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","02","99","99","    2.83"," ","R","13","    10.5"," ","P","13","     6.2"," ","P","13","     3.6"," ","P","13","     2.4"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.60"," ","R","13","    2.62"," ","R","13","    3.83"," ","R","13","    1.50"," ","R","13","    2.13"," ","R","13","    3.23"," ","R","13","    4.18"," ","R","13","    1.84"," ","R","13","    3.36"," ","R","13"
"US1PAAD0002","03"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","03","99","99","    3.99"," ","R","13","    11.5"," ","P","13","     7.2"," ","P","13","     4.5"," ","P","13","     1.9"," ","P","13","     0.9"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    3.26"," ","R","13","    3.96"," ","R","13","    5.14"," ","R","13","    2.83"," ","R","13","    3.54"," ","R","13","    4.26"," ","R","13","    5.27"," ","R","13","    3.45"," ","R","13","    4.76"," ","R","13"
"US1PAAD0002","04"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","04","99","99","    3.63"," ","R","13","    12.9"," ","P","13","     7.4"," ","P","13","     4.7"," ","P","13","     2.2"," ","P","13","     0.6"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.36"," ","R","13","    3.69"," ","R","13","    4.42"," ","R","13","    2.29"," ","R","13","    2.99"," ","R","13","    3.96"," ","R","13","    4.67"," ","R","13","    2.72"," ","R","13","    4.08"," ","R","13"
"US1PAAD0002","05"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","05","99","99","    4.34"," ","R","13","    16.0"," ","P","13","     9.4"," ","P","13","     6.4"," ","P","13","     3.7"," ","P","13","     0.9"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.97"," ","R","13","    4.42"," ","R","13","    5.70"," ","R","13","    2.77"," ","R","13","    3.99"," ","R","13","    4.51"," ","R","13","    5.84"," ","R","13","    3.62"," ","R","13","    5.05"," ","R","13"
"US1PAAD0002","06"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","06","99","99","    3.95"," ","R","13","    12.8"," ","P","13","     7.5"," ","P","13","     5.1"," ","P","13","     2.8"," ","P","13","     0.9"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.33"," ","R","13","    3.32"," ","R","13","    5.27"," ","R","13","    2.17"," ","R","13","    3.05"," ","R","13","    4.20"," ","R","13","    5.58"," ","R","13","    2.67"," ","R","13","    4.65"," ","R","13"
"US1PAAD0002","07"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","07","99","99","    4.03"," ","R","13","    11.8"," ","P","13","     7.5"," ","P","13","     5.6"," ","P","13","     2.9"," ","P","13","     1.2"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.73"," ","R","13","    3.80"," ","R","13","    4.90"," ","R","13","    2.64"," ","R","13","    3.51"," ","R","13","    4.26"," ","R","13","    5.07"," ","R","13","    3.13"," ","R","13","    4.47"," ","R","13"
"US1PAAD0002","08"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","08","99","99","    3.75"," ","R","13","    12.4"," ","P","13","     6.9"," ","P","13","     4.7"," ","P","13","     3.2"," ","P","13","     1.1"," ","P","13","     0.4"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.50"," ","R","13","    3.63"," ","R","13","    5.30"," ","R","13","    2.24"," ","R","13","    3.04"," ","R","13","    4.26"," ","R","13","    5.39"," ","R","13","    2.81"," ","R","13","    4.85"," ","R","13"
"US1PAAD0002","09"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","09","99","99","    4.69"," ","R","14","     9.9"," ","P","14","     6.4"," ","P","14","     4.6"," ","P","14","     3.2"," ","P","14","     1.6"," ","P","14","     0.5"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    2.48"," ","R","14","    4.08"," ","R","14","    6.30"," ","R","14","    2.11"," ","R","14","    3.60"," ","R","14","    4.85"," ","R","14","    6.83"," ","R","14","    2.97"," ","R","14","    5.55"," ","R","14"
"US1PAAD0002","10"," 39.9192"," -76.9894"," 139.0","ABBOTTSTOWN 2.4 N, PA US","10","99","99","    3.91"," ","R","14","    12.1"," ","P","14","     6.7"," ","P","14","     4.7"," ","P","14","     2.8"," ","P","14","     1.4"," ","P","14","     0.4"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","    2.04"," ","R","14","    3.50"," ","R","14","    5.22"," ","R","14","    1.84"," ","R","14","    2.70"," ","R","14","    4.51"," ","R","14","    5.52"," ","R","14","    2.50"," ","R","14","    4.62"," ","R","14"
