"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1VAAB0012","01"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","01","99","99","    3.22"," ","E"," 5"
"US1VAAB0012","02"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","02","99","99","    2.78"," ","E"," 3"
"US1VAAB0012","03"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","03","99","99","    3.78"," ","E"," 3"
"US1VAAB0012","04"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","04","99","99","    3.49"," ","E"," 5"
"US1VAAB0012","05"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","05","99","99","    4.34"," ","E"," 3"
"US1VAAB0012","06"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","06","99","99","    4.25"," ","E"," 2"
"US1VAAB0012","07"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","07","99","99","    4.42"," ","E"," 5"
"US1VAAB0012","08"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","08","99","99","    3.95"," ","E"," 4"
"US1VAAB0012","09"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","09","99","99","    4.44"," ","E"," 4"
"US1VAAB0012","10"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","10","99","99","    3.68"," ","E"," 6"
"US1VAAB0012","11"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","11","99","99","    3.55"," ","E"," 5"
"US1VAAB0012","12"," 38.0453"," -78.3281"," 142.3","KESWICK 2.8 NE, VA US","12","99","99","    3.63"," ","E"," 4"
