"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1VTCH0004","01"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","01","99","99","    2.94"," ","R","11","    18.4"," ","P","11","     7.4"," ","P","11","     2.9"," ","P","11","     1.5"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.99"," ","R","11","    2.54"," ","R","11","    3.78"," ","R","11","    1.94"," ","R","11","    2.38"," ","R","11","    3.00"," ","R","11","    3.93"," ","R","11","    2.31"," ","R","11","    3.46"," ","R","11"
"US1VTCH0004","02"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","02","99","99","    2.51"," ","R","11","    16.2"," ","P","11","     7.9"," ","P","11","     3.0"," ","P","11","     1.1"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.85"," ","R","11","    2.24"," ","R","11","    3.01"," ","R","11","    1.84"," ","R","11","    2.02"," ","R","11","    2.36"," ","R","11","    3.16"," ","R","11","    1.95"," ","R","11","    2.78"," ","R","11"
"US1VTCH0004","03"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","03","99","99","    3.22"," ","R","11","    15.3"," ","P","11","     7.0"," ","P","11","     3.5"," ","P","11","     1.3"," ","P","11","     0.6"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.52"," ","R","11","    3.29"," ","R","11","    3.86"," ","R","11","    2.34"," ","R","11","    2.93"," ","R","11","    3.34"," ","R","11","    3.96"," ","R","11","    2.68"," ","R","11","    3.64"," ","R","11"
"US1VTCH0004","04"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","04","99","99","    3.70"," ","R","12","    16.1"," ","P","12","    10.6"," ","P","12","     5.8"," ","P","12","     2.9"," ","P","12","     0.2"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.81"," ","R","12","    3.72"," ","R","12","    4.47"," ","R","12","    2.66"," ","R","12","    3.22"," ","R","12","    3.92"," ","R","12","    4.67"," ","R","12","    3.09"," ","R","12","    4.23"," ","R","12"
"US1VTCH0004","05"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","05","99","99","    4.72"," ","R","12","    15.2"," ","P","12","     9.8"," ","P","12","     6.9"," ","P","12","     3.5"," ","P","12","     1.6"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.08"," ","R","12","    4.28"," ","R","12","    6.31"," ","R","12","    2.90"," ","R","12","    3.79"," ","R","12","    4.90"," ","R","12","    6.41"," ","R","12","    3.18"," ","R","12","    5.46"," ","R","12"
"US1VTCH0004","06"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","06","99","99","    4.68"," ","R","12","    17.3"," ","P","12","    11.2"," ","P","12","     7.1"," ","P","12","     3.4"," ","P","12","     1.2"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.12"," ","R","12","    3.94"," ","R","12","    6.15"," ","R","12","    2.93"," ","R","12","    3.63"," ","R","12","    4.48"," ","R","12","    6.53"," ","R","12","    3.45"," ","R","12","    5.03"," ","R","12"
"US1VTCH0004","07"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","07","99","99","    5.14"," ","R","12","    15.3"," ","P","12","     8.8"," ","P","12","     5.8"," ","P","12","     3.2"," ","P","12","     1.1"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.96"," ","R","12","    4.92"," ","R","12","    6.30"," ","R","12","    3.77"," ","R","12","    4.66"," ","R","12","    5.32"," ","R","12","    6.46"," ","R","12","    4.37"," ","R","12","    6.13"," ","R","12"
"US1VTCH0004","08"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","08","99","99","    4.55"," ","R","12","    13.8"," ","P","12","     8.6"," ","P","12","     5.0"," ","P","12","     3.1"," ","P","12","     1.2"," ","P","12","     0.2"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","    3.58"," ","R","12","    4.77"," ","R","12","    5.37"," ","R","12","    3.20"," ","R","12","    4.34"," ","R","12","    4.92"," ","R","12","    5.57"," ","R","12","    3.97"," ","R","12","    5.04"," ","R","12"
"US1VTCH0004","09"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","09","99","99","    4.29"," ","R","11","    11.9"," ","P","12","     7.0"," ","P","12","     5.3"," ","P","12","     2.5"," ","P","12","     1.3"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.12"," ","R","11","    3.96"," ","R","11","    5.02"," ","R","11","    2.95"," ","R","11","    3.65"," ","R","11","    4.35"," ","R","11","    5.66"," ","R","11","    3.34"," ","R","11","    4.56"," ","R","11"
"US1VTCH0004","10"," 44.5877"," -72.9225"," 285.3","UNDERHILL 4.4 NNE, VT US","10","99","99","    4.75"," ","R","12","    17.9"," ","P","12","    11.2"," ","P","12","     6.1"," ","P","12","     2.9"," ","P","12","     1.2"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.33"," ","R","12","    4.37"," ","R","12","    5.63"," ","R","12","    3.08"," ","R","12","    4.13"," ","R","12","    4.76"," ","R","12","    6.28"," ","R","12","    3.84"," ","R","12","    5.26"," ","R","12"
