"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WAAD0006","01"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","01","99","99","    1.04"," ","E"," 4"
"US1WAAD0006","02"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","02","99","99","    0.82"," ","E"," 6"
"US1WAAD0006","03"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","03","99","99","    0.82"," ","E"," 9"
"US1WAAD0006","04"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","04","99","99","    0.67"," ","E","10"
"US1WAAD0006","05"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","05","99","99","    0.78"," ","E","10"
"US1WAAD0006","06"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","06","99","99","    0.69"," ","E","10"
"US1WAAD0006","07"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","07","99","99","    0.21"," ","E","12"
"US1WAAD0006","08"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","08","99","99","    0.20"," ","E","12"
"US1WAAD0006","09"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","09","99","99","    0.31"," ","E"," 8"
"US1WAAD0006","10"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","10","99","99","    0.75"," ","E"," 9"
"US1WAAD0006","11"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","11","99","99","    1.02"," ","E"," 7"
"US1WAAD0006","12"," 46.7611","-119.2181"," 259.7","OTHELLO 4.8 SSW, WA US","12","99","99","    1.13"," ","E"," 5"
