"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1WVBY0002","01"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","01","99","99","    3.21"," ","R","11","    10.5"," ","P","11","     6.4"," ","P","11","     3.2"," ","P","11","     2.0"," ","P","11","     0.9"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.19"," ","R","11","    2.70"," ","R","11","    3.78"," ","R","11","    2.09"," ","R","11","    2.54"," ","R","11","    3.08"," ","R","11","    4.07"," ","R","11","    2.38"," ","R","11","    3.44"," ","R","11"
"US1WVBY0002","02"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","02","99","99","    2.36"," ","R","11","    10.5"," ","P","11","     6.1"," ","P","11","     3.7"," ","P","11","     1.9"," ","P","11","     0.2"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.35"," ","R","11","    2.19"," ","R","11","    3.56"," ","R","11","    1.18"," ","R","11","    1.72"," ","R","11","    2.35"," ","R","11","    3.70"," ","R","11","    1.65"," ","R","11","    2.67"," ","R","11"
"US1WVBY0002","03"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","03","99","99","    3.49"," ","R","11","    11.6"," ","P","11","     6.8"," ","P","11","     4.5"," ","P","11","     1.5"," ","P","11","     0.7"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.60"," ","R","11","    3.22"," ","R","11","    4.24"," ","R","11","    2.35"," ","R","11","    3.00"," ","R","11","    3.82"," ","R","11","    4.58"," ","R","11","    2.92"," ","R","11","    3.88"," ","R","11"
"US1WVBY0002","04"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","04","99","99","    3.95"," ","R","11","    12.6"," ","P","11","     7.4"," ","P","11","     4.5"," ","P","11","     1.8"," ","P","11","     0.8"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.63"," ","R","11","    3.71"," ","R","11","    4.51"," ","R","11","    2.55"," ","R","11","    3.05"," ","R","11","    3.98"," ","R","11","    4.56"," ","R","11","    2.92"," ","R","11","    4.17"," ","R","11"
"US1WVBY0002","05"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","05","99","99","    4.30"," ","R","12","    15.2"," ","P","12","     9.7"," ","P","12","     6.7"," ","P","12","     3.6"," ","P","12","     1.2"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.68"," ","R","12","    3.98"," ","R","12","    5.77"," ","R","12","    2.52"," ","R","12","    3.44"," ","R","12","    4.85"," ","R","12","    6.06"," ","R","12","    3.01"," ","R","12","    5.34"," ","R","12"
"US1WVBY0002","06"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","06","99","99","    4.03"," ","R","12","    12.6"," ","P","12","     7.7"," ","P","12","     5.5"," ","P","12","     3.1"," ","P","12","     1.2"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.82"," ","R","12","    3.62"," ","R","12","    5.12"," ","R","12","    2.49"," ","R","12","    3.26"," ","R","12","    3.93"," ","R","12","    5.39"," ","R","12","    3.05"," ","R","12","    4.44"," ","R","12"
"US1WVBY0002","07"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","07","99","99","    3.81"," ","R","12","    11.1"," ","P","12","     6.8"," ","P","12","     4.9"," ","P","12","     3.2"," ","P","12","     1.1"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.30"," ","R","12","    3.19"," ","R","12","    5.22"," ","R","12","    2.12"," ","R","12","    2.89"," ","R","12","    4.07"," ","R","12","    5.57"," ","R","12","    2.42"," ","R","12","    4.26"," ","R","12"
"US1WVBY0002","08"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","08","99","99","    3.85"," ","R","12","    11.8"," ","P","12","     7.7"," ","P","12","     5.2"," ","P","12","     3.2"," ","P","12","     0.7"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.94"," ","R","12","    3.44"," ","R","12","    4.62"," ","R","12","    2.89"," ","R","12","    3.14"," ","R","12","    3.96"," ","R","12","    4.68"," ","R","12","    3.05"," ","R","12","    4.15"," ","R","12"
"US1WVBY0002","09"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","09","99","99","    3.80"," ","R","12","    10.2"," ","P","12","     6.4"," ","P","12","     3.9"," ","P","12","     2.2"," ","P","12","     1.2"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.69"," ","R","12","    3.30"," ","R","12","    4.57"," ","R","12","    2.26"," ","R","12","    3.11"," ","R","12","    3.53"," ","R","12","    5.08"," ","R","12","    3.01"," ","R","12","    3.83"," ","R","12"
"US1WVBY0002","10"," 39.5875"," -77.9181"," 149.4","FALLING WATERS 2.4 NW, WV US","10","99","99","    3.55"," ","R","12","    10.5"," ","P","12","     7.0"," ","P","12","     4.8"," ","P","12","     3.2"," ","P","12","     0.9"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    1.90"," ","R","12","    3.42"," ","R","12","    4.66"," ","R","12","    1.63"," ","R","12","    3.10"," ","R","12","    3.90"," ","R","12","    5.06"," ","R","12","    2.60"," ","R","12","    4.25"," ","R","12"
