"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WYAB0001","01"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","01","99","99","    0.55"," ","E"," 4"
"US1WYAB0001","02"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","02","99","99","    0.59"," ","E"," 7"
"US1WYAB0001","03"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","03","99","99","    0.99"," ","E"," 5"
"US1WYAB0001","04"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","04","99","99","    1.70"," ","E"," 6"
"US1WYAB0001","05"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","05","99","99","    1.92"," ","E"," 7"
"US1WYAB0001","06"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","06","99","99","    1.74"," ","E","10"
"US1WYAB0001","07"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","07","99","99","    1.78"," ","E","10"
"US1WYAB0001","08"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","08","99","99","    1.30"," ","E"," 7"
"US1WYAB0001","09"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","09","99","99","    1.46"," ","E"," 7"
"US1WYAB0001","10"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","10","99","99","    1.25"," ","E"," 9"
"US1WYAB0001","11"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","11","99","99","    0.81"," ","E"," 5"
"US1WYAB0001","12"," 41.3139","-105.5774","2201.0","LARAMIE .73 ENE, WY US","12","99","99","    0.45"," ","E"," 3"
